station,date,time_pst,latitude_wgs84,longitude_wgs84,rake_teeth,Egeria_densa,Ceratophyllum_demersum,Myriophyllum_spicatum,algae,Potamogeton_nodosus,Potamogeton_crispus,Stuckenia_pectinata,Cabomba_caroliniana,Elodea_canadensis,Potamogeton_richardsonii,Najas_guadalupensis,Potamogeton_pusillus,Echinodorus_berteroi,Vallisneria_australis,Heteranthera_dubia,comments,tot_cover_spp,rake_teeth_logical,tot_cover_spp_logical,rake_diff
2048,2008-06-24,13:11:05,38.04249481,-121.8107699,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
2057,2008-06-23,12:57:43,38.09848537,-121.5659632,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4050,2017-10-05,12:57:38,38.00816527,-121.5139076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4063,2017-10-05,08:50:34,38.00922383,-121.5734552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4096,2017-10-03,13:24:28,38.03312867,-121.4870381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4116,2017-10-05,12:25:23,38.03517825,-121.605696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4118,2017-10-05,11:53:51,38.02521936,-121.6094231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4125,2017-10-05,09:27:49,38.06099221,-121.5855226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4130,2017-10-04,12:52:24,38.25974733,-121.6899936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4131,2017-10-04,12:48:07,38.25912137,-121.690019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4133,2017-10-04,12:31:53,38.27913097,-121.6875463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4134,2017-10-04,11:14:49,38.31851464,-121.678307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4135,2017-10-04,10:32:33,38.30770097,-121.6690619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,humongous,0,1,0,1
4136,2017-10-04,10:21:41,38.30231845,-121.6725634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4137,2017-10-04,10:04:49,38.29082407,-121.6727456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4138,2017-10-04,09:56:33,38.28071908,-121.6762381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,humongous,0,1,0,1
4139,2017-10-04,09:39:37,38.2635366,-121.6718313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4140,2017-10-04,09:22:07,38.25245068,-121.6742848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,patchy veg all around,0,1,0,1
4141,2017-10-04,08:44:56,38.24235338,-121.6776525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4143,2017-10-04,08:24:56,38.23775437,-121.6770992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4148,2017-10-03,12:27:25,38.08581595,-121.4718902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4149,2017-10-03,11:29:50,38.07625263,-121.4668041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,egeria outer edge,0,1,0,1
4151,2017-10-03,10:18:49,38.07393011,-121.4539988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4153,2017-10-03,09:35:55,38.08027505,-121.4453459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4501,2018-09-26,13:02:01,38.25751783,-121.7584914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n ot on boat,0,1,0,1
4507,2018-09-25,13:14:27,38.03079368,-121.8023196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4550,2018-09-26,08:56:48,38.30017457,-121.6897385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4571,2018-09-27,08:56:09,38.04743609,-121.6485167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4610,2018-10-02,07:36:16,38.04226226,-121.4364189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4611,2018-10-02,07:25:15,38.042392,-121.4350661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4629,2018-10-03,09:56:37,38.06484926,-121.4584503,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4631,2018-10-03,09:49:17,38.06658673,-121.4589732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4671,2018-10-02,12:02:17,38.26997805,-121.476181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4675,2018-10-02,09:50:58,38.26346989,-121.4623746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4704,2018-10-03,10:44:12,38.06670835,-121.5337823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wp too,0,1,0,1
4705,2018-10-03,10:38:00,38.06679341,-121.5335866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4721,2018-09-25,12:48:10,38.0146833,-121.6849687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4725,2018-09-25,10:46:46,38.01927659,-121.6887332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4740,2018-09-26,13:02:01,38.25774393,-121.7584927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n ot on boat,0,1,0,1
4771,2018-09-27,12:11:50,38.0011484,-121.5743059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4772,2018-09-27,11:58:39,38.00156471,-121.5754577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4804,2018-09-26,12:46:53,38.0972103,-121.593111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,microcystis,0,1,0,1
4805,2018-09-26,12:40:43,38.09482929,-121.5910372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4806,2018-09-26,12:30:49,38.09363863,-121.5805287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,microcystis,0,1,0,1
4844,2018-10-02,12:55:09,38.04297357,-121.4367433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4853,2018-10-03,10:27:04,37.9694877,-121.5316671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
4854,2018-10-03,09:34:29,37.96931446,-121.5295842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,offset. cant get to. sav on surface. 11ft secci channel,0,1,0,1
5016,2019-04-17,14:31:40,38.25642789,-121.7313551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5019,2019-04-17,14:01:41,38.25965739,-121.7541864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5086,2019-04-11,12:46:49,37.99586324,-121.6232335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5147,2019-04-16,09:00:41,38.04715365,-121.8077962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5228,2019-04-11,10:26:37,37.99491739,-121.6235903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5507,2019-10-01,12:22:44,38.05132581,-121.5280086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5508,2019-10-01,12:17:37,38.04950492,-121.5302092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5509,2019-10-01,12:04:46,38.04693206,-121.5285818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5510,2019-10-01,11:58:56,38.04569055,-121.5290247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5519,2019-10-02,14:55:40,38.04740522,-121.7894225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5543,2019-10-03,13:41:16,38.26256646,-121.6886012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5545,2019-10-03,12:18:05,38.29113161,-121.6687315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5577,2019-10-08,10:42:26,38.03105188,-121.5866954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5597,2019-10-09,08:58:44,37.91669741,-121.6089202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5603,2019-10-10,12:55:33,38.25696116,-121.4330434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5606,2019-10-10,10:58:43,38.27949342,-121.4456265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5607,2019-10-10,10:41:21,38.27438792,-121.4537924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5609,2019-10-10,10:18:38,38.26946646,-121.4569502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5610,2019-10-10,10:06:58,38.26919851,-121.4567697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5612,2019-10-10,08:48:05,38.26390371,-121.461715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5613,2019-10-10,08:26:13,38.26721418,-121.4612145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5617,NA,NA,37.85806319,-121.5785243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5646,2019-10-02,14:23:13,38.01363633,-121.684219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5647,2019-10-02,14:18:25,38.01909285,-121.6887762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5648,2019-10-02,14:08:34,38.01425404,-121.6974362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5649,2019-10-02,13:59:57,38.02103376,-121.6938793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5650,2019-10-02,13:55:39,38.02400587,-121.6949737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5651,2019-10-02,13:51:24,38.02307082,-121.6969558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,milfoil,0,1,0,1
5652,2019-10-02,13:45:22,38.02328916,-121.6999002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5653,2019-10-02,13:36:48,38.02479183,-121.7019239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5654,2019-10-02,13:13:55,38.02236856,-121.7039591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,elodea,0,1,0,1
5687,2019-10-03,12:15:31,38.24782161,-121.7072907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5699,2019-10-09,09:08:14,37.98824147,-121.4627996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5715,2019-10-01,09:49:53,38.03776567,-121.4052138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5717,2019-10-01,09:31:18,38.04306344,-121.4052948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5740,2019-10-10,13:12:53,38.19455443,-121.4685883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5744,2019-10-10,12:43:50,38.22305708,-121.4927176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5758,2019-10-10,08:38:55,38.23891737,-121.4977472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5762,2019-10-09,10:23:05,37.96309595,-121.5303114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
5763,2019-10-09,09:55:42,37.9691213,-121.53006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead prim,0,1,0,1
6526,2021-07-13,12:07:22,38.10575837,-121.6026335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sample egeria,0,1,0,1
6543,2021-07-14,10:16:48,38.05305891,-121.5297629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6564,2021-07-14,14:04:46,37.97204832,-121.5019424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sample egeria,0,1,0,1
6576,2021-07-15,13:07:29,38.25384369,-121.6722329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sample egeria,0,1,0,1
6584,2021-07-20,10:51:14,38.01040022,-121.6166579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,egeria sample,0,1,0,1
6598,2021-07-21,08:35:54,38.23396295,-121.4963552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,egeria sample,0,1,0,1
6603,2021-07-21,09:18:43,38.27001661,-121.4990192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6617,2021-07-21,12:48:14,38.27737534,-121.4520225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6630,2021-07-22,09:50:27,38.01007601,-121.6794024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,egeria sample,0,1,0,1
6657,2021-08-18,08:41:47,38.27887374,-121.6389074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above waterline,0,1,0,1
6703,2021-08-26,11:29:59,38.07457686,-121.4668626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6721,2021-07-20,11:06:51,37.83248904,-121.5455276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6739,2021-07-21,10:22:48,38.0235468,-121.8055236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6770,2021-07-22,14:05:38,38.20841864,-121.486908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above water line,0,1,0,1
6771,2021-07-22,14:15:03,38.20803118,-121.4882992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above water line,0,1,0,1
6772,2021-07-22,14:18:28,38.20976995,-121.4908751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above water line,0,1,0,1
6773,2021-07-22,14:21:14,38.21269935,-121.494171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above water line low low tide,0,1,0,1
6774,2021-07-22,14:23:40,38.21508039,-121.4962663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above water line,0,1,0,1
6775,2021-07-22,14:26:49,38.2176561,-121.4984427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,above water line,0,1,0,1
6777,2021-07-23,10:03:35,38.26349772,-121.4400543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6804,2021-07-15,10:13:54,38.23403693,-121.6706253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
6839,2021-07-14,11:16:18,38.03017635,-121.4848937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,floar unknown,0,1,0,1
6847,2021-07-14,13:44:25,37.99605495,-121.4143138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1
